i changed the time on my computer and it deleted my save,i wanted to get the achievement for strawberry toastwhich requires the time to be 5pm so i changed the time to try and get it but when i got to the main menu there was no continue option and all the save slots were empty is there any way to get my save back or am i screwed
mouse and keyboard,can you play a short hike also with mouse and keyboard   because i don't have a controller
so too hard for a 5 year old,her mouse precision and keyboard dexterity is poor at best i wouldn't coop with her in a platformer delightful kid but you don't want her on you pubg clan if you know what i mean would this game be good for her  something like rime if you know it is too hard for her
mouse only controls,can this game be played and enjoyed with just a 2button mouse my disability limits me to play with only a 2button mouse
can you fish without bait,i managed to lose the two worms i had during my first very inept attempt at fishing since then i've been trying to fish without bait because most online guides say it's possible just takes a bit longer however i've been at it for an extremely long time now at least 50 attempts at meteor lake without a single catch i'm wondering if i'm doing something wrong  do i need to do something more than just pressing x to reel in my line when the thingy gets pulled under to indicate that a fish is biting i've had a few instances of a fish seemingly pulling at the line while i was trying to reel it in but this invariably ends with my line breaking or the fish escaping or whatever i'm not sure how to interpret the animation there no caught fish anyway
patch history  version 17 released,the latest patch is version 17 released june 29h 2020
加了中文补丁后，快到鹰峰必然闪退怎么办？,加了中文补丁，往上爬山，第二个温泉过去，到小径的时候必然闪退，游戏体验很差…… 请问有什么办法解决吗？
what happens when i sleep,is the game over can i continue to explore
where do you find the fox,i've been seeing screenshots where a fox takes a cute picture of you and was wondering how to make this happen thanks
sick speedrunning tech discoverd,bro if you stand on top of a chest when you open it you get vaulted into the air it's sick
small islands,i took a swim around the coast and found two small islands  one is tall and has a lot of flowers  the other has a lot of trash  did i miss any
can i burn this,hello in the game there are some camp fires but there are some groups of rocks in circles without fire can i burn it if i can how thanks for reading
completing fishing journal,i was wondering if anyone knew where i might find the 4 missing fish from my journal hot springs sea etc as i can't seem to find them so far i have found  white pink white bass yellow albino yellow perch brook albino brook trout common albino common carp northern albino northern pike rainbow actually rainbow trout bluegill albino bluegill pumpkinseed albino pumpkinseed fish crayfish albino crayfish spotted brown trout apparently i have 4 left to go but i have no idea where to find them anyone know
the way forward is blocked,anyone else trying to enter the caves after breaking the planks with pickaxes and not being able to enter there
plans for a console port,i gotta say this game scratches that botw itch like no other and i would be more than willing to buy again possibly for friends on console if when we get a console release
win all the parkour races,how the hell am i supposed to beat this speed hacker avery on race to the summit i never even have enough feathers to climb all the way up on the last cliff
multiple saves,any way to have multiple saves
hawk peak achievement issue,i made it to the top of the hawk peak where you got phone call from mom and i went down to aunt's cabin and took a nap  the game ended there i only got achievement for  the end  but i'm missing the achievement for  hawk peak   i went back to the top for couple times and still didn't unlock this achievement what can i do what did i miss i don't want to start a new game
this is the ultimate feel good game,
humble bundle shortage of keys,never realised we got steam keys for short hike went to get em today but it says they're exhausted anything i gotta do
looks fun what else can you do in the game other than hiking up a mountain,i saw in the video you can fish can you visit other npc's also note added to my wishlist this appeared in a best of steam list on my friend's page so i looked at it and it looks fun
how can i find the artist guy,i lost my save file accidentally but i remember talking to an artist guy at the lighthouse then the graveyard but he hadn't show up in my new game play how can i find him
russian translate,is it possible to make a russian translation of this game how difficult is it to do can i do this with text files
linux version,gonna be the first to ask any chance there will be a linux version thanks
chinese localization offer,hi all just got into this game and i'm loving it wanna help with the chinese translation if needed have a lovely day afui
silver feathers,i collected something called a silver feather i just want to know if there are more than one
nintendo pro controller support,hi i’m unable to make the game connect with with my nintendo pro controller i’ve explored the abstruse “advanced controller” option ingame and tried both steam controller configs is there a way to play the game with the controller thanks
medal,the one you get when beating avery it has any use
keys won't be avaliable through steam anymore from humble bundle,i've been waiting for more than a month to play this but i can't because the key doesn't show and since it was a gift i got i can not use humble bundle to play it does this mean i legit lost a game without any way to play it
how were the graphics made,i’ve just finished the game and woah what a joy i’m amazed by the graphics style how were they done “just” blender and low poly with a filter how many polygons triangles have the characters sorry for asking so many questions but i’ve never seen this kind of art and to my eyes looks absolutely stunning and i suspect this art is way more complicated to make than it looks congrats on the game gonna recommend it to anybody i can
fix for hang on startup on win 10x64 nvidia,fyi i had to find the ashorthikeexe and modify its compatibility to disable fullscreen optimizations before it would run
feature suggestion visual cue for start of racing minigame for deaf players,hi developers of this game i just bought your game and got to the summit and it was wonderful on the summit i loved the people i met on my way there and i love the backstory of the main character and her family so i just really want to thank you for making this game and for the composer for making such wonderful music now on to my feature request in the racing minigame there are 3 beeps that count down to the start of the race i noticed there are no visual indicators that the race is about to start could there be some kind of symbol or visual cue that the race is starting i'm hard of hearing but still have enough hearing left to hear those beeps and the music but deaf people will hear nothing and will not know that the race is starting thanks goliathfan
keys are temporarily exhausted for this product @ humble,can you fix this
where is the other side for the secret tunnel in the snow area,as the title says found a tunnel near the peak that looks similar to the one with the mine entrance and the entrance near the visitor centre but haven't been able to find the other side to it also are there any more secret tunnels thanks in advance
is this game rift compatible,3d on rift
multiple save states,my son really wants to play this game is there a way to have multiple save states  or is there some sort of work around for this  selecting new game overwrites it
fish are bitting today achievement,hello i've spent an hour and a half fishing and i'm only missing one fish the hint says it's only been seen on the pond with the lilies but i've been fishing there and can't find anything  i'm assuming the pond is the same one where you get the fishing tutorial is there another pond with lilies
alternate route to hawk peak,hey so close to hawk peak you bump into the fox who says the bridge is collapsed and says there might be another way around on the dark side of the mountain does anyone know where this alternate route is i really want to help him get to hawk peak too haha thank you  edit nevermind turns out you need to go to the peak yourself first then speak to him afterwards and lend him 6 feathers d
merch,i want merch
missing a single feather,i'm missing a single feather if  20 is the maximum got 19 i already  bought all feathers of the toast guy  bought all feathers of the mean guy  helped the bunny racer get his band back  helped the camper get his watch back  helped the tent camper camping permission although he didnt give me anything  did the shell delivery quests  raced and won all three races  talked with the white dog at the outlook he wants snacks now  fished every fish once  finished the painter quest line ended at toast guy  got two silver feathers  let the sand castle kid finish his city what about the treasure maps i got three but i don't know whether they result in feathers i finished two of them and they only yielded only coins also the two climbers at the campfire want to climb to the top together tomorrow but that event did not start i even slept to attempt progressing a day
坐等一个汉化mod,大家有什么汉化组的联系方式，不要怜惜你的@
is this game particularly easy,specifically in where to go how to get there etc i'm wanting to get this for my sister who has only really ever played the sims follow up can you click to move the character or does it require arrow keys should i get her a controller does it use the right stick for the camera i've noticed that last bit is an especially large barrier for people who haven't used controllers
final hidden achievement however i dont know what it is,i only have 1 more achievement to get however it is hidden and im not completely sure what it is  im wondering if all of these sticks i've been gathering have something to do with it  or the shell necklace the extra shells  any help would be appreciated   thanks d ps  also maybe something to do with the pickaxes i still have 6 of them  could be the stone circles too there a a few of those  maybe even flying around for a certain amount of time idk just guessing here  catch some rare fish with the golden rod  it could be several things
stolen ac art,that fish shadow and the cracks that you dig look 100 straight ripped out of an animal crossing game not even inspired but actually ripped right
silver feathers,so i got everything in this game and have been everywhere however i got only 2 silver feathers now i ask myself if there isn't a third one since this game likes to have 1 or 3 things of everything anyone got a clue to where it could be or if there even is one extra mountain island and goat quest are done
hiking dog who wants to uproot life to go on daily hikes consequences,there's a whitefurred dog who loves a particular hiking route very much and wishes to go on daily hikes there the dog asks you if you think it should uproot its life and move home to do this i said no hoping i would then get to choose the other option however even after quitting and reloading my game unfortunately the dog wouldn't ask me again i'm now  super curious  what would have happened if i had chosen the other option i feel incredibly responsible for this dog's future does anyone know does it make a difference whenever i talk to the dog now it just says well i gotta get my hike on catch ya later
will there be content updates,i absolutely loved this game got all the achievements too wish we could see more of this game or maybe steam profile icons that would be nice too
a mod to capitalize and punctuate the game's dialogue,here it is on the internet it is in beta and sure to be full of mistaks
can't find the illegal camper again,i talked to the camper once and then found their license but i can't for the life of me find them again to return it one guide says near white beach trail but i've looked all around there and just can't find the darn person can anyone help
how can i get through this tunnel,
chest under sandcastle,on the beach next to aunt may’s cabin if you dig up the sandcastle you hit something metallic but it won’t come up any clues
when i can buy dlc and lootboxes with hats,do developers working on some additional payment gameplay for this game when they will add lootboxes there when batle royal mode do they working on craft and building constractor systems
what's the name of this art style,i like the name of this art style it's definitely retro but not just 2d it fits in with older 3d nintendo ds games like animal crossing or phantom hourglass but with those examples this art style simply comes from the limitations of that specific time period whereas here it's on purpose so what's the name of this blend of retro 3d visuals
northern pike bill,i'm missing exactly one fish but i don't know where to get it to make matters worse i did get the albino version of it but not the normal one who is bill edit i ended up finding it it's in meteor lake where you learn how to fish
gamepad problem,hi so i just bought the game and i have a problem with the gamepadthe dpad works but the joystick doesnt workit has like lag or something like thatand its just happens in this game
feature request thread,could we have a text autoadvance option please pressing x twentynine times talking to each character is really tedious i don't think it would ruin the pacing of the conversations either it would be nice
celeste similarities,does this game remind anyone of celeste a girl trying to get to the top of a mountain golden feathers no just me
featherless tips,sooooooooo i've reached the summit entirely featherless via the most  state of the art techniques  such as smashing myself against a ledge until i got over it brute forcing an entire climbing wall by literally just spamming jump and pushing against it however i've reached the last literal wall which i don't want to try and brute force after the last climbing wall  iimgurcom is there some sort of thing that will just boost me up the last tiny bit my fingers are tired from mashing jump and the arrow keys
ultrawide 219,would that be complicated to implement ultrawidescreen resolutions such as 2560x1080 and 3440x1440 the game looks so gorgeous
hawk peak with no feathers,hi i've been trying to reach the top without collecting any feathers progress has halted at the base of the peak to anyone who's reached the top with no feathers could you please share how you got past the last slope without climbing
macos nvidia  workaround for freezes,it seems a few macos users with nvidia graphics cards had an issue where the screen would freeze but you could still hear the game running in the background you can still hear running and jumping sounds until there's a proper fix you can use this method to fix the issue   right click on a short hike in your steam library and click properties   click set launch options   type in forceopengl sorry for any trouble this has caused to the affected users
flickering shadows,i'm getting a weird issue where the shadows flicker the easy to fix is to just turn the shadows off but this is obviously not ideal is this a known issue intel core i54300 haswell at 32ghz 8gb ddr3 ram intel hd 4600 manjaro linux 64bit to emphasise i am using the linux version thanks
hawks peak with six feathers,anybody else get there with six
bug   infinite golden feathers glitch,hello  i discovered something that looks like a glitch by chance i left the game standing on an emplacement of golden feather and when i restarted it to play it says you found a golden feather i redid to be sure and yep i got another golden feather maybe it's the only location that actually works i was standing on the golden feather at the right of the place where i found the water bucket i don't know if it's really a glitch or a bug or maybe an easy way to get golden feathers but maybe it isn't intentional so if it can help
achievement issue,i need some help with the crispy achievement i did everything you need too get it and i still don't have it can anybody help
fun game but,is there any way to remove the pixelation filter i get that the specific look of the game is that of an old fashioned 16bit game but i can tell it's a filter and it really gets in the way of enjoying the game switching it off would really help
typo,this one of my favourite spots rather than this  is  one of my favourite spots love everything you've done with the game keep up the good work
